school,
 'Carson City High ',
 'Central Montcalm High ',
 'Cornerstone Academy',
 'Cowden Lake Bible Academy',
 'Fellowship Baptist Academy',
 'Fish Creek ',
 'Grattan Academy',
 'Great Lakes Adventist Academy',
 'Greenville High ',
 'Lakeview High ',
 'Montabella High ',
 'Tri County High ',
 'Vestaburg High ',
 'Atlanta High ',
 'Hillman Community Junior/Senior High ',
 'Calvary Christian s',
 'Fruitport High ',
 'Holton High ',
 'Mona Shores High ',
 'Montague High ',
 'Muskegon Catholic Central High ',
 'Muskegon Heights Senior High ',
 'Muskegon High ',
 'North Muskegon High ',
 'Muskegon Technical Academy',
 'Oakridge High ',
 'Orchard View High ',
 'Ravenna High ',
 'Reeths-Puffer High ',
 'Western Michigan Christian High ',
 'Whitehall High ',
 'Cross Academy',
 'Faith Baptist Church ',
 'Fremont High ',
 'Grant High ',
 'Hesperia High ',
 'Newaygo High ',
 'Providence Christian High ',
 'White Cloud High ',
 'Academy of the Sacred Heart High ',
 'Access Academy Hazel Park Public s 16- to 19-year-olds. High  completion or GED preparation',
 'Detroit Catholic Central High ',
 'Bishop Foley Catholic High ',
 'Bradford Academy High ',
 'Brother Rice High ',
 'Everest Catholic High ',
 'Marian High ',
 'Mercy High ',
 'Notre Dame Preparatory ',
 'Our Lady of the Lakes High ',
 "St. Mary's Preparatory ",
 'Shrine Catholic High ',
 'Birmingham Public s',
 'Groves High ',
 'Lincoln Street Alternative High ',
 'Seaholm High ',
 'Bloomfield Hills s',
 'Bloomfield Hills High ',
 'Bowers Academy',
 'International Academy',
 'Farmington Public s',
 'Farmington Alternative High ',
 'Farmington High ',
 'Harrison High ',
 'North Farmington High ',
 'Huron Valley s',
 'Harbor High ',
 'Lakeland High ',
 'Milford High ',
 'Rochester Community s',
 'Alternative Center for Education',
 'Rochester Adams High ',
 'Rochester High ',
 'Stoney Creek High ',
 'Southfield Public s',
 'Southfield High ',
 'Southfield-Lathrup High ',
 'Southfield Regional Academic Campus',
 'Troy  District',
 'Athens High ',
 'Niles Community High ',
 'Troy High ',
 'International Academy East',
 'Walled Lake Consolidated s',
 'Community High ',
 'Walled Lake Central High ',
 'Walled Lake Northern High ',
 'Walled Lake Western High ',
 'Waterford  District',
 'Waterford Kettering High ',
 'Waterford Mott High ',
 'Waterford Durant High ',
 'Academy of Michigan',
 'Academy of Oak Park',
 'Advanced Technology Academy',
 'A.G.B.U. Alex and Marie Manoogian ',
 'Akiva Hebrew Day ',
 'Arthur Ashe Academy',
 'Auburn Hills Christian ',
 'Avondale High ',
 'Baldwin Road Church Academy',
 'Beis Chaya Mushka Girls High ',
 'Berkley High ',
 'Bethany Christian ',
 'Beth Jacob ',
 'Bethune Alternative Education (8-12)Pontiac',
 'Brandon High ',
 'Campbell Street Station Alternative High ',
 'Center for the Advanced Studies and the Arts (CASA)',
 'Christian Leadership Academy',
 'Churchill High ',
 'Clarkston High ',
 'Clawson High ',
 'Community High ',
 'Cranbrook Kingswood ',
 'Crossroads for Youth',
 'Detroit Country Day ',
 'Dondero High ',
 'Eton Academy',
 'Everest Academy',
 'Ferndale High ',
 'Franklin Road Christian ',
 'Havenwyck ',
 'Hazel Park High ',
 'Heritage Christian ',
 'Highland Hills Baptist Academy',
 'Holly High ',
 'Jardon ',
 'The Jean and Samuel Frankel Jewish Academy of Metropolitan Detroit',
 'Kimball High ',
 'Koby International Academy',
 'Lake Orion Baptist ',
 'Lake Orion High ',
 'Laker Academy',
 'Lamphere High ',
 'Learning Options High ',
 'Lutheran High  Northwest',
 'Madison High ',
 'Model High ',
 'Mount Zion Christian ',
 'Novi Christian ',
 'Novi High ',
 'Oakland Christian ',
 'Oakland International Academy',
 'Oak Park High ',
 'Oxford High ',
 'Pontiac Academy for Excellence',
 'Pontiac Central High ',
 'Pontiac High ',
 'Rochester Hills Christian ',
 'Roeper ',
 'Royal Oak High ',
 'South Lyon East High ',
 'South Lyon High ',
 'Southfield Christian ',
 'Springfield Christian Academy',
 'Waterford Christian Academy',
 'West Bloomfield High ',
 'Yeshivah Gedolah High ',
 'Yeshivas Darchei Torah - Girls',
 'Hart High ',
 'Lakeshore Public Academy',
 'Oceana High ',
 'Pentwater Public ',
 'Shelby High ',
 'Walkerville Middle/High ',
 'Bible Baptist Church ',
 'Ogemaw Heights High ',
 'Ogemaw Hills Christian ',
 'Second Chance Academy',
 'Ewen-Trout Creek ',
 'Ontonagon Area Senior High ',
 'Daystar Christian Academy',
 'Evart High ',
 'Genesis High ',
 'Heritage Christian Academy',
 'Marion High ',
 'Pine River High ',
 'Reed City High ',
 'Fairview High ',
 'Mio-AuSable High ',
 'Calvary Baptist ',
 'Gaylord High ',
 'Grace Baptist Christian ',
 'Johannesburg-Lewiston High ',
 'St. Mary Cathedral High ',
 'Vanderbilt Area ',
 'Allendale High ',
 'Black River Public ',
 'Calvary s of Holland',
 'Coopersville High ',
 'Daystar Christian Academy',
 'Grand Haven High  (Central High )',
 'Holland High ',
 'Hudsonville Public s',
 'Hudsonville High ',
 'Hudsonville Freshman Campus',
 'Jenison High ',
 'Lakeshore Baptist Academy',
 'Spring Lake High ',
 'Unity Christian High ',
 'West Ottawa High ',
 'Zeeland Public s',
 'Zeeland East High ',
 'Zeeland West High ',
 'Onaway High ',
 'Posen High ',
 'Presque Isle Academy',
 'Rogers City High/Middle ',
 'Houghton Lake High ',
 'Immanuel Christian ',
 'Roscommon High ',
 'Second Chance Academy',
 'Arthur Hill High ',
 'Birch Run High ',
 'Bridgeport Baptist Academy',
 'Bridgeport High ',
 'Brucker-BASE',
 'Buena Vista High ',
 'Carrollton High ',
 'Chesaning Union High ',
 'Community Baptist Christian ',
 'Frankenmuth High ',
 'Freeland High ',
 'Grace Baptist Christian ',
 'Hemlock High ',
 'Heritage High ',
 'Mackinaw High ',
 'Merrill High ',
 'Michigan Lutheran Seminary',
 'Nouvel Catholic Central High ',
 'Saginaw Arts and Sciences Academy',
 'Saginaw Career Complex',
 'Saginaw High ',
 'Saginaw Learn to Earn Academy',
 'Sheridan Road Baptist',
 'St. Charles High ',
 'Swan Valley High ',
 'Valley Lutheran High ',
 'Cardinal Mooney Catholic College Preparatory',
 'Academic Transitional Academy',
 'Academy of Style',
 'Algonac High ',
 'Blue Water Learning Academy',
 'Capac Junior/Senior High ',
 'Health Careers Academy',
 'Hospitality Academy',
 'Information Technology Academy',
 'Jefferson Adult Learning Center',
 'Marine City High ',
 'Marysville High ',
 'Memphis High ',
 'New Life Christian Academy',
 'Phoenix Alternative ',
 'Port Huron High ',
 'Port Huron Northern High ',
 'Port Huron South High ',
 'Public Safety Academy',
 'Riverview East High ',
 'St. Clair County Intervention Academy',
 'St. Clair County Learning Academy',
 'St. Clair High ',
 'St. Clair Technical Education Center',
 'Yale High ',
 'Burr Oak High ',
 'Centreville Covered Bridge High ',
 'Centreville High ',
 'Colon High ',
 'Constantine High ',
 'Heartwood Renaissance Academy',
 'Howardsville Christian ',
 'Huss Academy',
 'KAMSC (Kalamazoo Area Mathematics and Science Center)',
 'Lake Area Christian ',
 'Mendon Junior/Senior High ',
 'Nottawa Christian Day ',
 'Sturgis Christian ',
 'Sturgis High ',
 'Three Rivers High ',
 'White Pigeon High ',
 'Brown City High ',
 'Carsonville-Port Sanilac High ',
 'Cros-Lex High ',
 'Deckerville High ',
 'Marlette High ',
 'Peck Junior/Senior High ',
 'Sandusky High ',
 'Manistique High ',
 'Byron High ',
 'Corunna High ',
 'Durand Area High ',
 'Laingsburg High ',
 'Lincoln High ',
 'Morrice Junior/Senior High ',
 'New Lothrop High ',
 'Owosso Christian ',
 'Owosso High ',
 'Perry High ',
 'Spring Vale Academy',
 'Akron-Fairgrove Junior/Senior High ',
 'Caro Alternative High ',
 'Caro High ',
 'Cass City High ',
 'Deford Christian Academy',
 'Juniata Christian ',
 'Kingston High ',
 'Mayville High ',
 'Millington High ',
 'Reese High ',
 'Unionville-Sebewaing Area High ',
 'Vassar Senior High ',
 'Bangor High ',
 'Bloomingdale High ',
 'Covert High ',
 'Decatur High ',
 'Gobles High ',
 'Hartford High ',
 'Lawrence Junior/Senior High ',
 'Lawton High ',
 'Mattawan High ',
 'Michigan Avenue Academy',
 'Paw Paw High ',
 'L.C. Mohr High ',
 'Roman Catholic Diocese of Lansing',
 'Fr. Gabriel Richard High ',
 'Ann Arbor Public s',
 'Community High ',
 'Huron High ',
 'Pioneer High ',
 'Skyline High ',
 'Roberto Clemente Student Development Center',
 'Stone High ',
 'Ann Arbor Academy',
 'Arbor Preparatory High ',
 'Apostolic Christian Academy',
 'Calvary Christian Academy',
 'Center for Occupational and Personalized Education',
 'Central Academy',
 'Chelsea High ',
 'Clonlara ',
 'Dexter High ',
 'Greenhills ',
 'Lincoln High ',
 'Manchester High ',
 'Michigan Islamic Academy',
 'Milan High ',
 'North Sharon Christian ',
 'Pineview Christian Academy',
 'Rudolf Steiner of Ann Arbor',
 'Saline Christian ',
 'Saline High ',
 'Washtenaw Christian Academy',
 'Washtenaw Technical Middle College',
 'Whitmore Lake High ',
 'Willow Run High ',
 'Ypsilanti High ',
 'Cabrini High ',
 'Divine Child High ',
 'Gabriel Richard High ',
 'Ladywood High ',
 'Loyola High ',
 'Our Lady of Mount Carmel High ',
 'Regina High ',
 'University of Detroit Jesuit High  and Academy',
 'Blanche Kelso Bruce Academy',
 'Blanche Kelso Bruce Academy - Calumet',
 'Blanche Kelso Bruce Academy - Connor',
 'Blanche Kelso Bruce Academy - DePaul',
 'Blanche Kelso Bruce Academy - Detroit',
 'Blanche Kelso Bruce Academy - Eliot Center',
 "Blanche Kelso Bruce Academy - St. Jude's",
 "Blanche Kelso Bruce Academy - Victor's",
 'Blanche Kelso Bruce Academy - Wolverine',
 'Dearborn Public s',
 'Dearborn Center for Math',
 'Dearborn High ',
 'Dearborn Virtual Academy',
 'Edsel Ford High ',
 'Fordson High ',
 'Michael Berry Career Center',
 'Detroit Public s',
 'Barsamian Preparatory Center',
 'Boykin Continuing Education Center',
 'Breithaupt Career and Technical Center',
 'Cass Technical High ',
 'Central High ',
 'Chadsey High ',
 'Cody High ',
 'Communication and Media Arts High ',
 'Cooley High ',
 'Crockett Career and Technical Center',
 'Crockett High ',
 'Crosman High ',
 'Davis Aerospace High ',
 'Denby High ',
 'Detroit City High ',
 'Detroit High  for Technology',
 'Detroit International Academy',
 'Detroit  of Arts',
 'Douglass Academy',
 'Ferguson Academy for Young Women',
 'Ford High ',
 'Golightly Career and Technical Center',
 'Kettering High ',
 'King High ',
 'Mackenzie High ',
 'Mackenzie High  (Michigan)',
 'Millennium ',
 'Mumford High ',
 'Murray-Wright High ',
 'Northern High ',
 'Northwestern High ',
 'Osborn High '
 'Pershing High ',
 'Randolph Career and Technical Center',
 'Redford High ',
 'Renaissance High ',
 'Southeastern High ',
 'Southwestern High ',
 'Trombly Alternative High ',
 'Western International High ',
 'West Side Academy Alternative High ',
 'Life Skills Centers',
 'Life Skills Center of Covenant House Central',
 'Life Skills Center of Covenant House East',
 'Life Skills Center of Covenant House West',
 'Life Skills Center of Metropolitan Detroit',
 'Academy for Business and Technology',
 'Academy of Inkster',
 'Advanced Technology Academy',
 'Agape Christian Academy',
 'Aisha Shule/WEB Dubois Prep ',
 'Al-Ikhlas Training Academy',
 'Allen Academy',
 'Allen Park Community ',
 'Allen Park High ',
 'American Islamic Academy',
 'Anderson High ',
 'Annapolis High ',
 'Baptist Park ',
 'Belleville High ',
 'Benedictine High ',
 'Benjamin Carson Academy',
 'Bible Missionary Academy',
 'Bishop Gallagher High ',
 'Calvary Christian Academy',
 'Canton High ',
 'Canton Preparatory High ',
 'Casa Richard Academy',
 'Cesar Chavez Academy High ',
 'Charlotte Forten Academy',
 'Cherry Hill  of Performing Arts',
 'Churchill High ',
 'Clara B. Ford Academy',
 'Clarenceville High ',
 'Clinton St. Greater Beth Temple',
 'Community High/Middle ',
 'Cornerstone Academy',
 'Covenant High and Academy',
 'Crestwood High ',
 'Detroit Academy of Arts and Sciences',
 'Detroit Association Black Orgs',
 'Detroit  of Industrial Arts',
 'Detroit Urban Lutheran ',
 'Downriver High ',
 'East Catholic High ',
 'Ecorse Community High ',
 'Finney High ',
 'Flat Rock Community High ',
 'Franklin High ',
 'Frontier International Academy',
 'Galilean Baptist Educ. Ministry',
 'Garden City High ',
 'George Crockett Academy',
 'Grosse Ile High ',
 'Grosse Pointe Community ',
 'Grosse Pointe North High ',
 'Grosse Pointe South High ',
 'Hamilton ',
 'Hamilton J. Robichaud Junior/Senior High ',
 'Hamtramck High ',
 'Harper Woods High ',
 'Harry S. Truman High ',
 'Heart Academy',
 'Henry Ford Academy',
 'High  of Commerce & Business Administration',
 'Highland Park Community High ',
 'Holy Redeemer High ',
 'Hope of Detroit Academy',
 'Huron High ',
 'Huron Valley Lutheran High ',
 'Inkster High ',
 'Inter-City Baptist ',
 'John Glenn High ',
 'John F. Kennedy High ',
 'Light and Life Christian ',
 'Lincoln Park High ',
 'Livonia Career Technical Center',
 'Louisiana Homes ',
 'Lutheran High  Westland',
 'Marvin L. Winans Academy of Performing Arts High ',
 'McKinley ',
 'Melvindale High ',
 'Metro Baptist ',
 'Michigan Automotive Academy',
 'Michigan Health Academy',
 'Michigan Technical Academy High ',
 'Muhammad University of Islam',
 'New Center Academy',
 'New Galilee',
 'Northville High ',
 'Old Redford Academy Preparatory High ',
 'Oscar A. Carlson High ',
 'Detroit  of Arts (originally known as the Detroit  for the Fine and Performing Arts)',
 'Peterson-Warren Academy',
 'Plymouth Christian Academy',
 'Plymouth High ',
 'Redford Union High ',
 'River Rouge High ',
 'Riverview Community High ',
 'Romulus Senior High ',
 'Roosevelt High ',
 'St. Agatha High ',
 'Salem High ',
 'Star International Academy',
 'Stevenson High ',
 'Summit Academy North High ',
 'Taylor Career and Technical Center',
 'Taylor Center Baptist Academy',
 'Thurston High ',
 'Tinkham Alternative High ',
 'Titan Academy Alternative Education',
 'Todd-Phillips Learning Resource (5-11)',
 'Trenton High ',
 'United Christian ',
 'Universal Academy',
 'University Liggett ',
 'University Preparatory Academy',
 'Urban Arts',
 'Van Buren Alternative Education ',
 'Voyageur Academy',
 'Wayne Memorial High ',
 'Western Wayne Skills Center',
 'Westland Christian Academy',
 'Weston Technical Academy',
 'Westside Christian Academy',
 'William D. Ford Career-Technical Center',
 'Woodhaven High ',
 'Buckley Community ',
 'Cadillac Heritage Christian',
 'Cadillac High ',
 'Cooley ',
 'Manton High ',
 'Mesick Consolidated High '